date,year,month,KT,T2M,PRECTOT
1981-01-01,1981,1,0.5449275362318841,8.94,141.38
1981-02-01,1981,2,0.5449275362318841,10.13,50.02
1981-03-01,1981,3,0.5449275362318841,13.15,15.01
1981-04-01,1981,4,0.5449275362318841,15.15,34.36
1981-05-01,1981,5,0.5449275362318841,18.34,13.87
1981-06-01,1981,6,0.5449275362318841,24.49,4.12
1981-07-01,1981,7,0.5449275362318841,25.47,6.51
1981-08-01,1981,8,0.5449275362318841,25.31,8.53
1981-09-01,1981,9,0.5449275362318841,23.68,4.46
1981-10-01,1981,10,0.5449275362318841,21.56,30.83
1981-11-01,1981,11,0.5449275362318841,14.51,75.57
1981-12-01,1981,12,0.5449275362318841,14.1,115.93
1982-01-01,1982,1,0.5449275362318841,10.13,55.2
1982-02-01,1982,2,0.5449275362318841,8.48,71.55
1982-03-01,1982,3,0.5449275362318841,10.83,65.47
1982-04-01,1982,4,0.5449275362318841,13.95,53.18
1982-05-01,1982,5,0.5449275362318841,17.86,42.91
1982-06-01,1982,6,0.5449275362318841,23.25,2.75
1982-07-01,1982,7,0.5449275362318841,25.53,8.17
1982-08-01,1982,8,0.5449275362318841,25.96,11.99
1982-09-01,1982,9,0.5449275362318841,23.83,0.69
1982-10-01,1982,10,0.5449275362318841,19.77,26.81
1982-11-01,1982,11,0.5449275362318841,14.49,83.6
1982-12-01,1982,12,0.5449275362318841,12.36,63.49
1983-01-01,1983,1,0.5449275362318841,9.61,15.0
1983-02-01,1983,2,0.5449275362318841,8.72,108.13
1983-03-01,1983,3,0.5449275362318841,10.99,60.65
1983-04-01,1983,4,0.5449275362318841,15.53,14.57
1983-05-01,1983,5,0.5449275362318841,19.82,37.49
1983-06-01,1983,6,0.5449275362318841,22.05,19.16
1983-07-01,1983,7,0.59,25.63,35.59
1983-08-01,1983,8,0.63,25.14,4.07
1983-09-01,1983,9,0.6,22.69,6.45
1983-10-01,1983,10,0.47,18.21,32.29
1983-11-01,1983,11,0.33,14.0,101.25
1983-12-01,1983,12,0.42,12.17,88.17
1984-01-01,1984,1,0.47,11.36,66.78
1984-02-01,1984,2,0.4,10.67,63.45
1984-03-01,1984,3,0.44,11.32,70.95
1984-04-01,1984,4,0.45,13.74,100.76
1984-05-01,1984,5,0.6,19.02,9.97
1984-06-01,1984,6,0.67,22.78,2.85
1984-07-01,1984,7,0.66,24.91,16.51
1984-08-01,1984,8,0.59,24.66,13.3
1984-09-01,1984,9,0.64,23.93,2.35
1984-10-01,1984,10,0.57,21.12,6.24
1984-11-01,1984,11,0.45,15.62,47.06
1984-12-01,1984,12,0.41,11.75,81.83
1985-01-01,1985,1,0.44,11.17,108.31
1985-02-01,1985,2,0.41,9.24,39.15
1985-03-01,1985,3,0.4,11.36,92.43
1985-04-01,1985,4,0.56,15.98,30.38
1985-05-01,1985,5,0.57,20.7,7.8
1985-06-01,1985,6,0.68,24.58,0.96
1985-07-01,1985,7,0.67,25.45,11.18
1985-08-01,1985,8,0.67,26.0,0.01
1985-09-01,1985,9,0.63,22.79,1.27
1985-10-01,1985,10,0.49,17.39,38.77
1985-11-01,1985,11,0.47,16.3,71.32
1985-12-01,1985,12,0.46,13.19,33.07
1986-01-01,1986,1,0.47,11.68,86.01
1986-02-01,1986,2,0.38,11.37,73.04
1986-03-01,1986,3,0.43,11.56,46.04
1986-04-01,1986,4,0.58,16.44,16.57
1986-05-01,1986,5,0.52,19.22,21.63
1986-06-01,1986,6,0.54,23.67,45.1
1986-07-01,1986,7,0.59,26.1,2.35
1986-08-01,1986,8,0.61,26.34,6.29
1986-09-01,1986,9,0.56,23.37,1.39
1986-10-01,1986,10,0.44,18.72,81.58
1986-11-01,1986,11,0.47,13.48,39.26
1986-12-01,1986,12,0.42,10.91,54.63
1987-01-01,1987,1,0.39,11.11,50.7
1987-02-01,1987,2,0.37,10.77,60.22
1987-03-01,1987,3,0.4,8.51,92.75
1987-04-01,1987,4,0.47,13.73,110.61
1987-05-01,1987,5,0.53,17.7,9.13
1987-06-01,1987,6,0.62,23.69,11.9
1987-07-01,1987,7,0.61,26.19,4.44
1987-08-01,1987,8,0.58,26.03,6.83
1987-09-01,1987,9,0.59,24.45,2.46
1987-10-01,1987,10,0.41,18.04,46.48
1987-11-01,1987,11,0.38,15.58,92.95
1987-12-01,1987,12,0.42,12.18,41.81
1988-01-01,1988,1,0.38,11.74,79.21
1988-02-01,1988,2,0.44,10.67,103.01
1988-03-01,1988,3,0.46,11.89,89.71
1988-04-01,1988,4,0.48,14.42,21.12
1988-05-01,1988,5,0.59,19.63,15.84
1988-06-01,1988,6,0.59,24.42,3.39
1988-07-01,1988,7,0.64,27.74,2.9
1988-08-01,1988,8,0.65,26.32,2.64
1988-09-01,1988,9,0.6,23.99,5.17
1988-10-01,1988,10,0.48,18.57,14.31
1988-11-01,1988,11,0.37,13.14,111.11
1988-12-01,1988,12,0.43,11.43,89.28
1989-01-01,1989,1,0.53,9.02,5.99
1989-02-01,1989,2,0.51,10.72,8.72
1989-03-01,1989,3,0.51,13.04,34.29
1989-04-01,1989,4,0.59,16.69,14.11
1989-05-01,1989,5,0.57,18.51,15.56
1989-06-01,1989,6,0.64,23.05,3.83
1989-07-01,1989,7,0.65,25.5,1.58
