date,year,month,KT,T2M,PRECTOT
1981-01-01,1981,1,0.5941304347826086,11.91,187.76
1981-02-01,1981,2,0.5941304347826086,12.38,80.21
1981-03-01,1981,3,0.5941304347826086,14.36,19.66
1981-04-01,1981,4,0.5941304347826086,16.33,19.72
1981-05-01,1981,5,0.5941304347826086,18.31,10.43
1981-06-01,1981,6,0.5941304347826086,23.44,4.04
1981-07-01,1981,7,0.5941304347826086,24.72,1.37
1981-08-01,1981,8,0.5941304347826086,24.7,0.83
1981-09-01,1981,9,0.5941304347826086,23.55,1.92
1981-10-01,1981,10,0.5941304347826086,22.39,16.05
1981-11-01,1981,11,0.5941304347826086,16.67,115.93
1981-12-01,1981,12,0.5941304347826086,16.13,70.32
1982-01-01,1982,1,0.5941304347826086,13.46,84.74
1982-02-01,1982,2,0.5941304347826086,11.46,97.88
1982-03-01,1982,3,0.5941304347826086,13.07,44.95
1982-04-01,1982,4,0.5941304347826086,15.91,37.51
1982-05-01,1982,5,0.5941304347826086,17.97,21.77
1982-06-01,1982,6,0.5941304347826086,22.41,0.24
1982-07-01,1982,7,0.5941304347826086,24.72,0.27
1982-08-01,1982,8,0.5941304347826086,24.92,3.32
1982-09-01,1982,9,0.5941304347826086,23.16,2.77
1982-10-01,1982,10,0.5941304347826086,21.14,17.69
1982-11-01,1982,11,0.5941304347826086,16.44,41.14
1982-12-01,1982,12,0.5941304347826086,14.28,74.55
1983-01-01,1983,1,0.5941304347826086,12.12,49.48
1983-02-01,1983,2,0.5941304347826086,11.28,62.86
1983-03-01,1983,3,0.5941304347826086,13.0,35.68
1983-04-01,1983,4,0.5941304347826086,16.28,14.24
1983-05-01,1983,5,0.5941304347826086,19.41,8.18
1983-06-01,1983,6,0.5941304347826086,21.57,9.99
1983-07-01,1983,7,0.71,24.7,8.19
1983-08-01,1983,8,0.72,24.59,3.29
1983-09-01,1983,9,0.7,22.72,6.89
1983-10-01,1983,10,0.58,19.51,51.07
1983-11-01,1983,11,0.39,16.62,86.3
1983-12-01,1983,12,0.5,14.89,62.16
1984-01-01,1984,1,0.51,13.71,42.91
1984-02-01,1984,2,0.46,13.43,70.44
1984-03-01,1984,3,0.56,13.5,63.56
1984-04-01,1984,4,0.58,15.29,38.7
1984-05-01,1984,5,0.68,19.54,8.38
1984-06-01,1984,6,0.74,21.72,0.21
1984-07-01,1984,7,0.74,23.73,2.77
1984-08-01,1984,8,0.72,24.2,1.6
1984-09-01,1984,9,0.71,23.92,1.25
1984-10-01,1984,10,0.67,21.95,13.56
1984-11-01,1984,11,0.51,17.59,91.77
1984-12-01,1984,12,0.42,14.37,71.1
1985-01-01,1985,1,0.47,13.63,102.03
1985-02-01,1985,2,0.44,12.08,59.13
1985-03-01,1985,3,0.48,13.58,50.07
1985-04-01,1985,4,0.65,16.53,13.9
1985-05-01,1985,5,0.63,19.95,8.68
1985-06-01,1985,6,0.75,23.53,0.06
1985-07-01,1985,7,0.75,24.65,0.27
1985-08-01,1985,8,0.74,25.13,0.26
1985-09-01,1985,9,0.71,22.82,0.93
1985-10-01,1985,10,0.59,18.71,46.86
1985-11-01,1985,11,0.54,18.0,47.12
1985-12-01,1985,12,0.51,15.41,46.52
1986-01-01,1986,1,0.54,14.17,56.14
1986-02-01,1986,2,0.5,13.45,49.58
1986-03-01,1986,3,0.5,13.63,28.65
1986-04-01,1986,4,0.69,16.83,2.53
1986-05-01,1986,5,0.66,18.79,20.44
1986-06-01,1986,6,0.7,23.23,6.58
1986-07-01,1986,7,0.73,25.3,0.1
1986-08-01,1986,8,0.73,25.61,0.32
1986-09-01,1986,9,0.65,23.38,20.44
1986-10-01,1986,10,0.57,19.74,49.62
1986-11-01,1986,11,0.44,16.15,40.29
1986-12-01,1986,12,0.5,13.66,61.86
1987-01-01,1987,1,0.49,13.49,56.74
1987-02-01,1987,2,0.43,13.05,43.08
1987-03-01,1987,3,0.48,11.14,79.7
1987-04-01,1987,4,0.59,14.79,62.25
1987-05-01,1987,5,0.63,17.49,15.13
1987-06-01,1987,6,0.74,21.99,0.46
1987-07-01,1987,7,0.75,24.53,0.03
1987-08-01,1987,8,0.74,25.28,0.49
1987-09-01,1987,9,0.71,24.1,0.92
1987-10-01,1987,10,0.55,19.74,22.43
1987-11-01,1987,11,0.48,17.57,84.1
