date,year,month,KT,T2M,PRECTOT
1981-01-01,1981,1,0.4930676328502415,-1.94,87.92
1981-02-01,1981,2,0.4930676328502415,1.03,41.06
1981-03-01,1981,3,0.4930676328502415,7.3,32.74
1981-04-01,1981,4,0.4930676328502415,9.66,31.68
1981-05-01,1981,5,0.4930676328502415,13.42,37.93
1981-06-01,1981,6,0.4930676328502415,21.4,35.38
1981-07-01,1981,7,0.4930676328502415,21.7,34.39
1981-08-01,1981,8,0.4930676328502415,21.16,61.39
1981-09-01,1981,9,0.4930676328502415,18.19,13.75
1981-10-01,1981,10,0.4930676328502415,14.42,33.73
1981-11-01,1981,11,0.4930676328502415,4.21,73.54
1981-12-01,1981,12,0.4930676328502415,4.03,112.79
1982-01-01,1982,1,0.4930676328502415,0.53,42.02
1982-02-01,1982,2,0.4930676328502415,-0.9,46.43
1982-03-01,1982,3,0.4930676328502415,3.45,49.24
1982-04-01,1982,4,0.4930676328502415,8.12,80.71
1982-05-01,1982,5,0.4930676328502415,14.83,37.91
1982-06-01,1982,6,0.4930676328502415,20.14,50.07
1982-07-01,1982,7,0.4930676328502415,20.74,74.14
1982-08-01,1982,8,0.4930676328502415,21.51,43.88
1982-09-01,1982,9,0.4930676328502415,19.72,13.45
1982-10-01,1982,10,0.4930676328502415,12.25,31.99
1982-11-01,1982,11,0.4930676328502415,6.36,94.47
1982-12-01,1982,12,0.4930676328502415,3.84,93.84
1983-01-01,1983,1,0.4930676328502415,0.87,47.72
1983-02-01,1983,2,0.4930676328502415,-0.04,47.66
1983-03-01,1983,3,0.4930676328502415,5.11,44.56
1983-04-01,1983,4,0.4930676328502415,11.75,23.06
1983-05-01,1983,5,0.4930676328502415,16.05,53.91
1983-06-01,1983,6,0.4930676328502415,16.95,148.09
1983-07-01,1983,7,0.49,21.45,50.37
1983-08-01,1983,8,0.49,20.12,50.24
1983-09-01,1983,9,0.56,17.23,30.4
1983-10-01,1983,10,0.55,11.07,21.2
1983-11-01,1983,11,0.47,4.29,57.72
1983-12-01,1983,12,0.37,1.05,103.52
1984-01-01,1984,1,0.42,1.95,60.39
1984-02-01,1984,2,0.37,0.99,65.17
1984-03-01,1984,3,0.35,2.97,93.85
1984-04-01,1984,4,0.4,7.18,62.49
1984-05-01,1984,5,0.53,14.89,23.72
1984-06-01,1984,6,0.52,18.76,31.88
1984-07-01,1984,7,0.55,21.34,19.01
1984-08-01,1984,8,0.45,19.99,31.95
1984-09-01,1984,9,0.54,18.97,14.26
1984-10-01,1984,10,0.52,15.1,2.3
1984-11-01,1984,11,0.47,6.47,36.86
1984-12-01,1984,12,0.49,0.94,42.52
1985-01-01,1985,1,0.42,0.51,58.97
1985-02-01,1985,2,0.51,-1.4,30.09
1985-03-01,1985,3,0.42,3.67,56.32
1985-04-01,1985,4,0.45,11.27,19.38
1985-05-01,1985,5,0.44,17.25,40.6
1985-06-01,1985,6,0.5,19.61,23.61
1985-07-01,1985,7,0.55,22.38,10.0
1985-08-01,1985,8,0.6,22.85,18.93
1985-09-01,1985,9,0.58,17.96,12.3
1985-10-01,1985,10,0.53,10.72,11.39
1985-11-01,1985,11,0.4,6.93,131.22
1985-12-01,1985,12,0.53,4.02,16.68
1986-01-01,1986,1,0.42,1.96,61.46
1986-02-01,1986,2,0.36,-0.27,139.29
1986-03-01,1986,3,0.44,4.44,15.72
1986-04-01,1986,4,0.55,11.82,29.06
1986-05-01,1986,5,0.48,15.25,46.75
1986-06-01,1986,6,0.48,19.9,57.51
1986-07-01,1986,7,0.49,22.17,8.79
1986-08-01,1986,8,0.58,23.23,34.39
1986-09-01,1986,9,0.55,19.14,10.33
1986-10-01,1986,10,0.5,11.51,19.8
1986-11-01,1986,11,0.54,4.8,25.64
1986-12-01,1986,12,0.46,0.65,26.19
1987-01-01,1987,1,0.36,0.47,63.86
1987-02-01,1987,2,0.41,2.95,50.5
1987-03-01,1987,3,0.51,0.4,62.34
1987-04-01,1987,4,0.45,8.39,88.34
1987-05-01,1987,5,0.45,12.94,34.22
1987-06-01,1987,6,0.52,19.93,26.99
1987-07-01,1987,7,0.55,24.5,30.1
1987-08-01,1987,8,0.56,21.66,29.42
1987-09-01,1987,9,0.56,20.79,19.0
1987-10-01,1987,10,0.46,10.23,44.81
1987-11-01,1987,11,0.38,7.37,98.5
1987-12-01,1987,12,0.42,2.75,49.94
1988-01-01,1988,1,0.47,3.04,15.92
1988-02-01,1988,2,0.47,2.47,56.21
1988-03-01,1988,3,0.42,4.69,79.67
1988-04-01,1988,4,0.46,9.28,27.21
1988-05-01,1988,5,0.48,15.49,25.04
1988-06-01,1988,6,0.48,19.99,51.13
1988-07-01,1988,7,0.6,25.55,25.27
1988-08-01,1988,8,0.57,23.71,4.36
1988-09-01,1988,9,0.51,18.77,5.8
1988-10-01,1988,10,0.49,11.4,23.32
1988-11-01,1988,11,0.37,2.46,97.37
1988-12-01,1988,12,0.45,1.66,52.45
1989-01-01,1989,1,0.6,0.75,4.32
1989-02-01,1989,2,0.5,3.69,10.47
1989-03-01,1989,3,0.46,7.64,42.88
1989-04-01,1989,4,0.53,12.68,20.13
1989-05-01,1989,5,0.41,14.41,40.16
1989-06-01,1989,6,0.42,17.93,69.39
1989-07-01,1989,7,0.52,21.58,39.24
1989-08-01,1989,8,0.54,22.54,15.05
1989-09-01,1989,9,0.47,17.78,26.88
1989-10-01,1989,10,0.51,11.56,40.26
1989-11-01,1989,11,0.46,5.88,34.04
1989-12-01,1989,12,0.52,2.03,45.7
1990-01-01,1990,1,0.58,0.6,3.32
1990-02-01,1990,2,0.54,4.3,11.59
1990-03-01,1990,3,0.55,8.6,13.6
1990-04-01,1990,4,0.41,10.58,54.19
1990-05-01,1990,5,0.42,15.13,73.05
1990-06-01,1990,6,0.54,19.71,20.79
1990-07-01,1990,7,0.55,23.22,33.09
1990-08-01,1990,8,0.55,21.98,26.65
1990-09-01,1990,9,0.5,17.35,17.8
1990-10-01,1990,10,0.48,12.95,37.86
1990-11-01,1990,11,0.47,8.92,29.2
1990-12-01,1990,12,0.37,3.03,118.07
1991-01-01,1991,1,0.55,1.04,9.85
1991-02-01,1991,2,0.39,0.98,41.99
1991-03-01,1991,3,0.46,6.2,24.82
1991-04-01,1991,4,0.35,8.41,61.72
1991-05-01,1991,5,0.4,12.53,63.95
1991-06-01,1991,6,0.53,20.54,21.55
1991-07-01,1991,7,0.5,22.24,35.66
1991-08-01,1991,8,0.48,21.59,33.05
1991-09-01,1991,9,0.56,18.1,23.44
1991-10-01,1991,10,0.4,12.16,50.35
1991-11-01,1991,11,0.46,6.89,45.82
1991-12-01,1991,12,0.47,-1.02,16.54
1992-01-01,1992,1,0.59,1.13,4.26
1992-02-01,1992,2,0.52,0.96,21.23
1992-03-01,1992,3,0.49,5.02,16.11
1992-04-01,1992,4,0.46,10.2,60.91
1992-05-01,1992,5,0.45,13.74,34.34
1992-06-01,1992,6,0.44,19.16,74.2
1992-07-01,1992,7,0.52,20.82,24.51
1992-08-01,1992,8,0.62,24.52,9.71
1992-09-01,1992,9,0.59,17.53,3.45
1992-10-01,1992,10,0.42,13.85,35.7
1992-11-01,1992,11,0.51,7.44,53.01
1992-12-01,1992,12,0.56,0.76,34.02
1993-01-01,1993,1,0.57,1.14,13.91
1993-02-01,1993,2,0.55,0.12,22.3
1993-03-01,1993,3,0.44,4.56,31.89
1993-04-01,1993,4,0.49,10.02,20.33
1993-05-01,1993,5,0.43,15.34,50.1
1993-06-01,1993,6,0.56,20.52,17.93
1993-07-01,1993,7,0.62,23.03,4.93
1993-08-01,1993,8,0.61,23.21,11.74
1993-09-01,1993,9,0.6,18.18,7.4
1993-10-01,1993,10,0.55,15.03,5.66
1993-11-01,1993,11,0.39,3.24,70.01
1993-12-01,1993,12,0.49,4.51,42.56
1994-01-01,1994,1,0.47,4.16,64.89
1994-02-01,1994,2,0.46,1.69,32.74
1994-03-01,1994,3,0.53,7.2,24.73
1994-04-01,1994,4,0.44,11.25,62.94
1994-05-01,1994,5,0.51,16.58,53.08
1994-06-01,1994,6,0.55,20.47,18.49
1994-07-01,1994,7,0.5,23.0,42.09
1994-08-01,1994,8,0.58,23.99,16.6
1994-09-01,1994,9,0.62,22.14,8.02
1994-10-01,1994,10,0.47,13.44,66.92
1994-11-01,1994,11,0.47,5.85,44.54
1994-12-01,1994,12,0.47,2.24,85.94
1995-01-01,1995,1,0.39,-0.24,63.17
1995-02-01,1995,2,0.52,4.98,18.97
1995-03-01,1995,3,0.46,5.21,65.9
1995-04-01,1995,4,0.46,9.2,32.45
1995-05-01,1995,5,0.48,14.84,44.03
1995-06-01,1995,6,0.52,20.57,60.91
1995-07-01,1995,7,0.45,22.48,44.64
1995-08-01,1995,8,0.48,21.22,43.8
1995-09-01,1995,9,0.52,17.12,41.67
1995-10-01,1995,10,0.58,11.05,6.93
1995-11-01,1995,11,0.45,3.81,68.4
1995-12-01,1995,12,0.37,1.63,105.43
1996-01-01,1996,1,0.45,-0.54,54.61
1996-02-01,1996,2,0.4,0.53,94.28
1996-03-01,1996,3,0.4,0.72,51.88
1996-04-01,1996,4,0.5,8.03,45.43
1996-05-01,1996,5,0.45,16.55,48.68
1996-06-01,1996,6,0.53,20.49,10.3
1996-07-01,1996,7,0.54,23.01,12.85
1996-08-01,1996,8,0.5,22.27,39.24
1996-09-01,1996,9,0.44,15.27,78.18
1996-10-01,1996,10,0.45,10.61,26.1
1996-11-01,1996,11,0.5,9.11,78.79
1996-12-01,1996,12,0.38,3.96,68.86
1997-01-01,1997,1,0.55,3.01,30.86
1997-02-01,1997,2,0.57,2.56,30.65
1997-03-01,1997,3,0.52,3.88,73.81
1997-04-01,1997,4,0.46,5.29,79.64
1997-05-01,1997,5,0.54,15.44,33.88
1997-06-01,1997,6,0.54,20.56,39.24
1997-07-01,1997,7,0.52,22.55,44.29
1997-08-01,1997,8,0.5,20.0,58.56
1997-09-01,1997,9,0.57,16.46,10.2
1997-10-01,1997,10,0.47,10.33,69.79
1997-11-01,1997,11,0.39,6.57,31.62
1997-12-01,1997,12,0.39,1.87,102.26
1998-01-01,1998,1,0.5,2.84,31.33
1998-02-01,1998,2,0.54,3.49,72.34
1998-03-01,1998,3,0.54,2.76,37.96
1998-04-01,1998,4,0.5,10.76,15.33
1998-05-01,1998,5,0.4,14.2,79.6
1998-06-01,1998,6,0.57,20.73,22.31
1998-07-01,1998,7,0.64,24.0,20.85
1998-08-01,1998,8,0.58,24.31,9.73
1998-09-01,1998,9,0.46,17.03,49.31
1998-10-01,1998,10,0.48,13.54,61.94
1998-11-01,1998,11,0.34,5.95,110.89
1998-12-01,1998,12,0.46,0.26,32.75
1999-01-01,1999,1,0.5,2.47,33.11
1999-02-01,1999,2,0.48,1.28,41.16
1999-03-01,1999,3,0.5,5.64,45.25
1999-04-01,1999,4,0.49,10.66,34.73
1999-05-01,1999,5,0.5,16.17,35.09
1999-06-01,1999,6,0.51,21.18,49.36
1999-07-01,1999,7,0.54,23.39,73.16
1999-08-01,1999,8,0.57,23.41,25.0
1999-09-01,1999,9,0.5,18.92,25.16
1999-10-01,1999,10,0.49,13.87,27.6
1999-11-01,1999,11,0.46,6.74,54.5
1999-12-01,1999,12,0.41,4.84,84.49
2000-01-01,2000,1,0.6,-3.5,16.01
2000-02-01,2000,2,0.49,2.54,39.12
2000-03-01,2000,3,0.55,4.82,28.0
2000-04-01,2000,4,0.45,12.01,39.06
2000-05-01,2000,5,0.53,16.51,34.38
2000-06-01,2000,6,0.58,21.3,14.34
2000-07-01,2000,7,0.63,24.69,8.23
2000-08-01,2000,8,0.62,23.5,4.05
2000-09-01,2000,9,0.52,18.0,30.81
2000-10-01,2000,10,0.48,11.81,60.42
2000-11-01,2000,11,0.5,10.24,23.59
2000-12-01,2000,12,0.51,4.1,21.6
2001-01-01,2001,1,0.42,2.36,53.96
2001-02-01,2001,2,0.52,3.7,17.36
2001-03-01,2001,3,0.5,9.38,20.82
2001-04-01,2001,4,0.46,9.77,83.7
2001-05-01,2001,5,0.48,15.39,46.96
2001-06-01,2001,6,0.58,19.93,40.37
2001-07-01,2001,7,0.54,24.11,20.92
2001-08-01,2001,8,0.56,23.82,44.84
2001-09-01,2001,9,0.54,18.53,37.82
2001-10-01,2001,10,0.58,14.04,2.82
2001-11-01,2001,11,0.46,5.84,26.76
2001-12-01,2001,12,0.38,-2.76,59.18
2002-01-01,2002,1,0.55,0.37,18.55
2002-02-01,2002,2,0.59,6.17,6.55
2002-03-01,2002,3,0.46,7.01,81.45
2002-04-01,2002,4,0.39,8.93,47.93
2002-05-01,2002,5,0.47,15.93,38.47
