year,KT,T2M,PRECTOT
1981,0.4928571428571429,11.27,596.3
1982,0.4928571428571429,10.95,658.15
1983,0.49,10.56,678.45
1984,0.47,10.83,484.4
1985,0.49,11.39,429.49
1986,0.49,11.28,474.94
1987,0.47,11.06,598.02
1988,0.48,11.58,463.75
1989,0.49,11.58,388.52
1990,0.5,12.24,439.2
1991,0.46,10.86,428.73
1992,0.51,11.29,371.44
1993,0.53,11.65,298.77
1994,0.51,12.73,520.96
1995,0.47,11.02,596.31
1996,0.46,10.86,609.21
1997,0.5,10.76,604.81
1998,0.5,11.7,544.34
1999,0.5,12.45,528.6
2000,0.54,12.19,319.63
2001,0.5,12.06,455.51
2002,0.47,11.98,658.33
2003,0.49,11.48,559.09
2004,0.48,11.81,522.63
2005,0.49,11.47,663.77
2006,0.5,11.71,548.35
2007,0.53,12.86,628.95
2008,0.52,12.51,439.28
2009,0.48,12.45,605.45
2010,0.48,12.46,722.96
2011,0.53,11.85,426.66
2012,0.52,12.67,587.72
2013,0.48,12.76,549.36
2014,0.46,12.63,787.71
2015,0.49,12.51,711.2
2016,0.49,12.83,462.87
2017,0.48,12.65,562.63
2018,0.4928571428571429,13.07,1.68
