FID,id,date,year,month,kt,t2m,prectot
fil_month.fid-3d1c3ce2_171b116dd75_-7fdb,1,1981-01-01,1981,1,0.57224637,6.71999979,183.16000366
fil_month.fid-3d1c3ce2_171b116dd75_-7fda,2,1981-02-01,1981,2,0.57224637,8.81000042,77.01000214
fil_month.fid-3d1c3ce2_171b116dd75_-7fd9,3,1981-03-01,1981,3,0.57224637,12.44999981,16.27000046
fil_month.fid-3d1c3ce2_171b116dd75_-7fd8,4,1981-04-01,1981,4,0.57224637,14.72000027,47.90999985
fil_month.fid-3d1c3ce2_171b116dd75_-7fd7,5,1981-05-01,1981,5,0.57224637,17.62999916,40.29999924
fil_month.fid-3d1c3ce2_171b116dd75_-7fd6,6,1981-06-01,1981,6,0.57224637,23.72999954,6.44000006
fil_month.fid-3d1c3ce2_171b116dd75_-7fd5,7,1981-07-01,1981,7,0.57224637,24.37999916,8.23999977
fil_month.fid-3d1c3ce2_171b116dd75_-7fd4,8,1981-08-01,1981,8,0.57224637,25.29999924,6.86000013
fil_month.fid-3d1c3ce2_171b116dd75_-7fd3,9,1981-09-01,1981,9,0.57224637,22.75,35.90000153
fil_month.fid-3d1c3ce2_171b116dd75_-7fd2,10,1981-10-01,1981,10,0.57224637,20.17000008,59.13999939
fil_month.fid-3d1c3ce2_171b116dd75_-7fd1,11,1981-11-01,1981,11,0.57224637,12.63000011,138.91999817
fil_month.fid-3d1c3ce2_171b116dd75_-7fd0,12,1981-12-01,1981,12,0.57224637,12.22999954,208.44000244
fil_month.fid-3d1c3ce2_171b116dd75_-7fcf,13,1982-01-01,1982,1,0.57224637,9.09000015,117.12000275
fil_month.fid-3d1c3ce2_171b116dd75_-7fce,14,1982-02-01,1982,2,0.57224637,7.13999987,78.56999969
fil_month.fid-3d1c3ce2_171b116dd75_-7fcd,15,1982-03-01,1982,3,0.57224637,9.82999992,121.59999847
fil_month.fid-3d1c3ce2_171b116dd75_-7fcc,16,1982-04-01,1982,4,0.57224637,13.75,48.81999969
fil_month.fid-3d1c3ce2_171b116dd75_-7fcb,17,1982-05-01,1982,5,0.57224637,18.36000061,26.30999947
fil_month.fid-3d1c3ce2_171b116dd75_-7fca,18,1982-06-01,1982,6,0.57224637,22.87999916,1.51999998
fil_month.fid-3d1c3ce2_171b116dd75_-7fc9,19,1982-07-01,1982,7,0.57224637,24.96999931,1.60000002
fil_month.fid-3d1c3ce2_171b116dd75_-7fc8,20,1982-08-01,1982,8,0.57224637,25.81999969,20.44000053
fil_month.fid-3d1c3ce2_171b116dd75_-7fc7,21,1982-09-01,1982,9,0.57224637,24.01000023,1.92999995
fil_month.fid-3d1c3ce2_171b116dd75_-7fc6,22,1982-10-01,1982,10,0.57224637,18.82999992,82.02999878
fil_month.fid-3d1c3ce2_171b116dd75_-7fc5,23,1982-11-01,1982,11,0.57224637,13.18000031,179.22999573
fil_month.fid-3d1c3ce2_171b116dd75_-7fc4,24,1982-12-01,1982,12,0.57224637,10.42000008,99.73000336
fil_month.fid-3d1c3ce2_171b116dd75_-7fc3,25,1983-01-01,1983,1,0.57224637,8.47000027,23.06999969
fil_month.fid-3d1c3ce2_171b116dd75_-7fc2,26,1983-02-01,1983,2,0.57224637,7.76999998,65.76000214
fil_month.fid-3d1c3ce2_171b116dd75_-7fc1,27,1983-03-01,1983,3,0.57224637,10.36999989,53.70999908
fil_month.fid-3d1c3ce2_171b116dd75_-7fc0,28,1983-04-01,1983,4,0.57224637,15.10999966,18.73999977
fil_month.fid-3d1c3ce2_171b116dd75_-7fbf,29,1983-05-01,1983,5,0.57224637,19.01000023,18.37999916
fil_month.fid-3d1c3ce2_171b116dd75_-7fbe,30,1983-06-01,1983,6,0.57224637,21.12999916,17.10000038
fil_month.fid-3d1c3ce2_171b116dd75_-7fbd,31,1983-07-01,1983,7,0.67000002,25.43000031,16.87000084
fil_month.fid-3d1c3ce2_171b116dd75_-7fbc,32,1983-08-01,1983,8,0.67000002,24.54999924,2.9000001
fil_month.fid-3d1c3ce2_171b116dd75_-7fbb,33,1983-09-01,1983,9,0.63999999,22.14999962,17.67000008
fil_month.fid-3d1c3ce2_171b116dd75_-7fba,34,1983-10-01,1983,10,0.52999997,17.52000046,61.06000137
fil_month.fid-3d1c3ce2_171b116dd75_-7fb9,35,1983-11-01,1983,11,0.38,13.43999958,152.41000366
fil_month.fid-3d1c3ce2_171b116dd75_-7fb8,36,1983-12-01,1983,12,0.44999999,10.81000042,178.1499939
fil_month.fid-3d1c3ce2_171b116dd75_-7fb7,37,1984-01-01,1984,1,0.46000001,10.10999966,100.79000092
fil_month.fid-3d1c3ce2_171b116dd75_-7fb6,38,1984-02-01,1984,2,0.44,9.30000019,126.23000336
fil_month.fid-3d1c3ce2_171b116dd75_-7fb5,39,1984-03-01,1984,3,0.50999999,10.34000015,57.97000122
fil_month.fid-3d1c3ce2_171b116dd75_-7fb4,40,1984-04-01,1984,4,0.51999998,12.73999977,79.54000092
fil_month.fid-3d1c3ce2_171b116dd75_-7fb3,41,1984-05-01,1984,5,0.58999997,18.60000038,5.65999985
fil_month.fid-3d1c3ce2_171b116dd75_-7fb2,42,1984-06-01,1984,6,0.70999998,21.18000031,0.64999998
fil_month.fid-3d1c3ce2_171b116dd75_-7fb1,43,1984-07-01,1984,7,0.70999998,24.32999992,2.92000008
fil_month.fid-3d1c3ce2_171b116dd75_-7fb0,44,1984-08-01,1984,8,0.64999998,23.95000076,22.04999924
fil_month.fid-3d1c3ce2_171b116dd75_-7faf,45,1984-09-01,1984,9,0.64999998,22.07999992,21.70000076
fil_month.fid-3d1c3ce2_171b116dd75_-7fae,46,1984-10-01,1984,10,0.61000001,19.85000038,10.85999966
fil_month.fid-3d1c3ce2_171b116dd75_-7fad,47,1984-11-01,1984,11,0.52999997,14.05000019,83.55000305
fil_month.fid-3d1c3ce2_171b116dd75_-7fac,48,1984-12-01,1984,12,0.47,10.19999981,100.76000214
fil_month.fid-3d1c3ce2_171b116dd75_-7fab,49,1985-01-01,1985,1,0.44,9.69999981,155.57000732
fil_month.fid-3d1c3ce2_171b116dd75_-7faa,50,1985-02-01,1985,2,0.47,9,56.11999893
