year,KT,T2M,PRECTOT
1981,0.5714285714285714,16.84,828.58
1982,0.5714285714285714,16.58,778.91
1983,0.55,16.37,625.83
1984,0.57,16.42,612.68
1985,0.57,17.0,628.88
1986,0.57,16.84,808.55
1987,0.56,16.65,757.48
1988,0.58,16.99,794.37
1989,0.59,16.41,364.56
1990,0.59,17.23,694.06
1991,0.57,15.99,576.23
1992,0.58,16.36,462.98
1993,0.6,16.84,524.65
1994,0.6,17.62,595.52
1995,0.58,16.59,639.99
1996,0.55,16.35,826.52
1997,0.59,16.52,622.47
1998,0.58,17.26,646.26
1999,0.57,17.61,736.9
2000,0.59,17.43,453.04
2001,0.59,17.53,630.67
2002,0.57,17.24,734.95
2003,0.55,17.38,853.84
2004,0.56,17.12,577.35
2005,0.56,16.68,878.16
2006,0.59,16.88,547.73
2007,0.59,17.68,556.23
2008,0.59,17.59,615.29
2009,0.57,17.55,889.43
2010,0.56,17.76,594.98
2011,0.59,17.08,644.74
2012,0.58,17.91,654.02
2013,0.54,17.87,572.4
2014,0.53,17.51,748.48
2015,0.55,17.51,641.01
2016,0.54,17.74,804.24
2017,0.55,17.4,584.82
2018,0.5714285714285714,17.91,2.23
